cluster_id,link_score,source_file,name,street,city,state,zip
1001,,0,Katherine E Price,888 Fourth,Hinesville,GA,31313
1002,,0,Rachel T Evans,5534 Fifth,South Lyon,MI,48178-3532
1003,,0,Vincent P Nelson,9367 First,Grand Island,NE,68801
1004,,0,Randy R Watson,13363 Fifth,Beulaville,NC,28518-8741
1005,,0,Logan G Davis,14789 Main,Tallassee,TN,37878-5020
1006,,0,Roger T Wright,15115 Cedar,Newark,NJ,07103-4988
1007,,0,Jeremy J Kelly,15300 First,Davis City,IA,50065
1008,,0,Mark A Turner,11604 Seventh,Summitville,IN,46070
1009,,0,Amber J James,10785 Fifth,Dublin,GA,31021
1010,,0,Vincent H Jackson,2100 Cedar,Polaris,MT,59746-4201
1011,,0,Laura G Anderson,13366 Third,Oak Island,NC,28465
1012,,0,Henry W Brooks,13169 Maple,Oklahoma City,OK,73164
1013,,0,Patrick Z Patel,12089 Elm,Whitlash,MT,59545-0173
1014,,0,Diane P Jimenez,14149 Cedar,Victoria,TX,77901-2130
1015,,0,Charles I Evans,3206 First,Washington,DC,20219
1016,,0,Hannah S Parker,19764 Fourth,Camarillo,CA,93010-7599
1017,,0,Jack Y Gray,18555 Seventh,Clayton,IN,46118
1018,,0,Ruth L Collins,8260 Cedar,APO,NY,09114
1019,,0,Terry R Morris,19749 Lake,Grahamsville,NY,12740-2539
1020,,0,Catherine N Morales,12665 Oak,Little Rock,AR,72295-7560
1021,,0,Sean A Adams,11571 Maple,Saint Paul,MN,55112-9490
1022,,0,Susan U Allen,14601 Fourth,Lakeland,LA,70752-0735
1023,,0,Donna A Clark,17080 Evergreen,Dixon,NM,87527-5186
1024,,0,Raymond I Perez,11095 Fourth,New York,NY,10011-7584
1025,,0,Linda Y Jones,5806 Fourth,Belgrade,MO,63622
1026,,0,Victoria Z Thompson,8323 Pine,Republic,OH,44867
1027,,0,Robert D Clark,11825 Fifth,Sturdivant,MO,63782
1028,,0,Timothy W Davis,15522 Fourth,Mount Sterling,MO,65062-5130
1029,,0,Thomas F Nguyen,19965 Park,Carthage,NC,28327-4815
1030,,0,Marie U Hughes,16167 Pine,Havana,AR,72842-1319
1031,,0,Elizabeth A Mendoza,4425 Evergreen,Saratoga,NC,27873-2260
1032,,0,Rose V Murphy,7751 Park,Everest,KS,66424-1927
1033,,0,Bruce U Phillips,10947 Park,Wiscasset,ME,04578-1475
1034,,0,Thomas S Sanchez,1075 Seventh,Newtown Square,PA,19073-4789
1035,,0,Brandon Q Patel,11060 Park,Guilford,IN,47022-8641
1036,,0,Judith X Wright,14560 Park,Stuttgart,AR,72160
1037,,0,Billy A Martinez,8850 Fourth,Pasadena,TX,77507
1038,,0,Arthur B Ramirez,3720 Third,Saint Clair Shores,MI,48082
1039,,0,Sean A Diaz,17329 Pine,San Francisco,CA,94172
1040,,0,Debra O Foster,8513 Seventh,Rural Ridge,PA,15075
1041,,0,Frances I Morgan,6814 Fifth,Yates City,IL,61572
1042,,0,Jessica J Torres,16098 Eighth,Hanover,PA,17334-9343
1043,,0,Kathryn I Ruiz,19597 Ninth,Panama City,FL,32417
1044,,0,David I Morales,680 Washington,Cuba City,WI,53807
1045,,0,Nicholas R Jones,1673 Pine,Sterling,OK,73567-7901
1046,,0,Madison H Murphy,1280 Fifth,Macksville,KS,67557-2803
1047,,0,Grace Y Wright,13750 Park,Sonora,CA,95370
1048,,0,Brittany Z Peterson,8466 Main,Charlotte,NC,28222
1049,,0,Amanda D Stewart,6114 Washington,Waukesha,WI,53188-2855
1050,,0,Brittany H Martinez,11598 Maple,Rome,IA,52642-8561
1051,,0,James V Turner,12572 Cedar,Pownal,VT,05261-1132
1052,,0,Lauren R Martinez,16625 First,Saint Paul,MN,55133-8296
1053,,0,Louis O Wright,711 Seventh,Sturtevant,WI,53177
1054,,0,Brandon T Gray,19615 Elm,Chestertown,MD,21690
1055,,0,Nicholas W Lopez,14012 Sixth,Greeley,CO,80638
1056,,0,Jacqueline A Harris,7006 Eighth,Cherokee,IA,51012-7743
1057,,0,Melissa B Perez,3767 Eighth,Garnerville,NY,10923
1058,,0,Kelly K Parker,9155 First,Washington,DC,20422
1059,,0,Christian L Anderson,7819 Fifth,Clopton,AL,36317
1060,,0,Joseph K Diaz,7850 Oak,Banner,WY,82832
1061,,0,George V Garcia,11672 Oak,Davenport,IA,52801
1062,,0,Richard E Brown,19795 Third,Oak Island,NC,28465-1171
1063,,0,Betty M Reyes,8214 Elm,Iliff,CO,80736-7120
1064,,0,Benjamin R Kim,14522 Fourth,Laurel,IA,50141
1065,,0,Marge N Mendoza,17980 First,Rutland,ND,58067
1066,,0,David O Hill,10500 Maple,Mexia,TX,76667
1067,,0,John B King,16784 Lake,Hilliard,OH,43026-5603
1068,,0,John L Gray,14677 Cedar,Idamay,WV,26576-4652
1069,,0,Kenneth I Castillo,15803 Sixth,Martins Ferry,OH,43935-5375
1070,,0,Julia E Mendoza,3461 Oak,Hartford,CT,06126
1071,,0,Lauren G Taylor,19177 View,Luray,KS,67649-9879
1072,,0,Eric M Reyes,9268 Seventh,Alma,AR,72921
1073,,0,John M Gray,16688 Evergreen,Pinckard,AL,36371-4273
1074,,0,Brenda W Rodriguez,16470 Washington,Spring Arbor,MI,49283-5379
1075,,0,Jason U Adams,8227 Pine,Vero Beach,FL,32967
1076,,0,Kelly O Hill,13760 Eighth,Parkersburg,WV,26102
1077,,0,Billy O Young,8197 Second,Clairton,PA,15025-3144
1078,,0,Kelly X Sanders,5251 Fourth,Omer,MI,48749
1079,,0,David N Simpson,11248 Lake,Wilmington,DE,19808-0639
1080,,0,Austin B Phillips,13660 Seventh,La Joya,TX,78560-7503
1081,,0,Sean D Stewart,4482 Second,Temple,TX,76508-6377
1082,,0,Bart U James,15394 Second,Carson,CA,90895-6759
1083,,0,Jessica C Garcia,17705 Main,Verona,ND,58490
1084,,0,Steven D Cook,19599 Fourth,Magnolia,NJ,08049
1085,,0,Victoria G Murphy,9958 Eighth,Bode,IA,50519
1086,,0,Roger N Cruz,987 Evergreen,Gary,IN,46407-4625
1087,,0,Frank X Ortiz,6413 Elm,Plato,MO,65552-2906
1088,,0,Rachel I Flores,16574 Lake,Sagamore Beach,MA,02562
1089,,0,Evelyn G Murphy,1485 Eighth,Arlington,TX,76004-5051
1090,,0,Theresa V Walker,12149 Ninth,Bishop,CA,93514-2647
1091,,0,Ralph Z Kim,13488 Cedar,Mounds,OK,74047
1092,,0,Christine M Gomez,19003 Fifth,Surrency,GA,31563
1093,,0,Katherine U Perez,14501 Elm,Yosemite National Park,CA,95389-3995
1094,,0,Mark M White,14736 Second,Joaquin,TX,75954
1095,,0,Sandra L Scott,15707 Second,Congers,NY,10920
1096,,0,Michael Z Carter,14681 Park,Brazeau,MO,63737
1097,,0,Sophia H Brooks,19577 Fifth,Kelso,MO,63758-6743
1098,,0,George E Hill,8773 First,Akers,LA,70421-2002
1099,,0,Michelle W Allen,18863 Main,Bethesda,MD,20811
1100,,0,James Y Cruz,11278 Cedar,Jones Mills,PA,15646-6275
1101,,0,Benjamin N Foster,17419 Lake,Atmore,AL,36502-1385
1102,,0,Gary P Simpson,15636 Main,Poteau,OK,74953
1103,,0,Megan V Myers,6654 Third,Owensboro,KY,42304-9196
1104,,0,Joshua N Lewis,240 Park,Speed,NC,27881
1105,,0,Walter U Torres,1431 Maple,McCammon,ID,83250
1106,,0,Pamela L Rodriguez,3103 Pine,Pilot Grove,IA,52648-0836
1107,,0,Zachary V Miller,2596 Sixth,Equinunk,PA,18417
1108,,0,Charlotte P Adams,15571 Second,Menifee,CA,92585-6440
1109,,0,Isabella X Roberts,7937 Second,Arlington,MA,02476
1110,,0,Ralph S Martin,9412 View,Oklahoma City,OK,73196
1111,,0,Virginia O James,15778 First,Griffithville,AR,72060
1112,,0,Bobby Y Morales,5128 View,Ganado,TX,77962
1113,,0,Judy P Phillips,15193 Third,Hope,AR,71801-6973
1114,,0,Brenda W Alvarez,4358 Lake,Kingston,MO,64650
1115,,0,Scott R Campbell,5903 View,Berlin,NY,12022-8177
1116,,0,Johnny E Gray,10514 Park,Malvern,PA,19355
1117,,0,Logan G Parker,13453 Sixth,Nocona,TX,76255-5976
1118,,0,Emma S Alvarez,12027 Oak,Chicago,IL,60603
1119,,0,Michelle Y James,17694 Fifth,Lost Springs,WY,82224
1120,,0,Christine M Foster,18007 Seventh,Julian,NE,68379
1121,,0,Benjamin Q Ward,8529 First,Derby,NY,14047
1122,,0,Elijah D Reed,1051 Sixth,Moran,WY,83013
1123,,0,Christian Z Evans,2198 Main,Nemo,SD,57759
1124,,0,Brian X Torres,216 Fifth,New Haven,CT,06538
1125,,0,Robert S Hernandez,7247 Second,Brockport,NY,14420-2978
1126,,0,Joyce Z Roberts,5540 Elm,Pittsboro,MS,38951-5139
1127,,0,William J Miller,1583 Elm,Dodson,MT,59524-1613
1128,,0,Sara C Morales,19140 Sixth,Macomb,MI,48044
1129,,0,Margaret I Moore,19658 Third,Jerome,MO,65529
1130,,0,Homer K Long,1605 Elm,Willernie,MN,55090
1131,,0,Robert Y Ross,819 Sixth,Anderson,CA,96007
1132,,0,Arthur Q Williams,14678 Ninth,Verdi,NV,89439-9988
1133,,0,Laura L Lee,7508 Evergreen,McShan,AL,35471
1134,,0,Lauren I Hill,14729 Fifth,Shoshoni,WY,82649-3509
1135,,0,Christian G Torres,15242 Cedar,Monetta,SC,29105
1136,,0,Cynthia Z Jones,18780 Elm,Whitefield,ME,04353-2014
1137,,0,Ashley I Lewis,1978 Pine,Navesink,NJ,07752-1335
1138,,0,Lawrence F Long,4693 Ninth,Houston,TX,77090-9668
1139,,0,Kathleen R Mitchell,15335 Cedar,South West City,MO,64863-6494
1140,,0,Maggie B Alvarez,10343 Lake,Moultonborough,NH,03254
1141,,0,Kenneth S Castillo,8424 Sixth,Apalachicola,FL,32329-4850
1142,,0,James S James,3505 View,SaintJohn,VI,00831
1143,,0,Kyle Z Edwards,15834 Park,Washington,DC,20436
1144,,0,Barbara F Myers,16682 Elm,Toms River,NJ,08756-7696
1145,,0,Marge A Edwards,11015 Seventh,Cranberry,PA,16319
1146,,0,Kyle W Ramirez,16639 Maple,Zaleski,OH,45698
1147,,0,Heather H Cox,6445 Lake,Renick,MO,65278
1148,,0,Christian R Ruiz,10917 Seventh,Calera,OK,74730
1149,,0,Brittany I Mitchell,17907 Hill,Wausa,NE,68786
1150,,0,Jason F Mitchell,18780 Washington,Tampa,FL,33612-5071
1151,,0,James J Gray,296 Maple,Racine,WI,53401
1152,,0,Rebecca N Hill,2156 First,Hanover,NH,03755-1578
1153,,0,Elizabeth B Bailey,18205 Third,Carlisle,AR,72024-8784
1154,,0,Kevin Y Nelson,6412 Third,West Grove,PA,19390-0835
1155,,0,Joseph J Morris,14427 Third,Clarksburg,TN,38324
1156,,0,Sandra P Martin,6730 Eighth,Chicago Heights,IL,60411-7955
1157,,0,Carolyn W Anderson,9957 Evergreen,Orange City,IA,51041
1158,,0,Amy W Lewis,12770 Ninth,Opelika,AL,36804
1159,,0,Kathleen Y Anderson,16321 Park,Valley Grove,WV,26060
1160,,0,Terry N Reed,5452 Evergreen,New Rochelle,NY,10804-0714
1161,,0,Debra I Hill,19793 View,Creston,IA,50801-9160
